 317 Cnc  25 3299  71030
 318 Cnc  26*
 319 Cnc  27 3319  71250
 320 Cnc  28 3329  71496
 321 Cnc  29 3333  71555
 322 Cnc  30 3355  72041
 323 Cnc  31 3357  72094
 324 Cnc  32 3369  72324
 325 Cnc  33 3366  72292
 326 Cnc  34 3372  72359
 327 Cnc  35 3387  72779
 328 Cnc  36 3406  73143
 329 Cnc  37 3412  73316
 330 Cnc  38       73575
 331 Cnc  39 3427  73665
 332 Cnc  40       73666
 333 Cnc  41 3429  73731
 334 Cnc  42       73785
 335 Cnc  43 3449  74198
 336 Cnc  44       74200
 337 Cnc  45 3450  74228
 338 Cnc  46 3464  74485
 339 Cnc  47 3461  74442
 340 Cnc  48 3474  74738
             3475  74739
 341 Cnc  49 3465  74521
 342 Cnc  50 3481  74873
 343 Cnc  51 3519  75698
 344 Cnc  52       75558
 345 Cnc  53 3521  75716
 346 Cnc  54 3510  75528
 347 Cnc  55 3522  75732
 348 Cnc  56*
 349 Cnc  57 3532  75959
 350 Cnc  58 3540  76219
 351 Cnc  59 3555  76398
 352 Cnc  60 3550  76351
 353 Cnc  61 3563  76572
 354 Cnc  62 3561  76543
 355 Cnc  63 3565  76582
 356 Cnc  64 3575  76813
 357 Cnc  65 3572  76756
 358 Cnc  66 3587  77104
 359 Cnc  67 3589  77190
 360 Cnc  68       77230
 361 Cnc  69 3595  77350
 362 Cnc  70 3601  77557
 363 Cnc  71       77892
 364 Cnc  72 3621  78235
 365 Cnc  73*
 366 Cnc  74*
 367 Cnc  75 3626  78418
 368 Cnc  76 3623  78316
 369 Cnc  77 3627  78515
 370 Cnc  78       78479
 371 Cnc  79 3640  78715
 372 Cnc  80       79009
 373 Cnc  81 3650  79096
 374 Cnc  82 3669  79554
 375 Cnc  83       80218
 376 Leo   1 3731  81146
 377 Leo   2 3754  81858
 378 Leo   3 3755  81873
 379 Leo   4 3773  82308
 380 Leo   5 3782  82395
 381 Leo   6 3779  82381
 382 Leo   7 3818  83023
 383 Leo   8 3826  83189
 384 Leo   9       83273
 385 Leo  10 3827  83240
 386 Leo  11       83343
 387 Leo  12       83469
 388 Leo  13 3853  83821
 389 Leo  14 3852  83808
 390 Leo  15 3861  84107
 391 Leo  16 3866  84194
 392 Leo  17 3873  84441
 393 Leo  18 3877  84561
 394 Leo  19 3880  84722
 395 Leo  20 3889  85040
 396 Leo  21       85259
 397 Leo  22 3900  85376
 398 Leo  23 3896  85268
 399 Leo  24 3905  85503
 400 Leo  25*
 401 Leo  26       86359
 402 Leo  27 3937  86360
 403 Leo  28*
 404 Leo  29 3950  86663
 405 Leo  30 3975  87737
 406 Leo  31 3980  87837
 407 Leo  32 3982  87901
 408 Leo  33       88233
 409 Leo  34 3998  88355
 410 Leo  35 4030  89010
 411 Leo  36 4031  89025
 412 Leo  37 4035  89056
 413 Leo  38*
 414 Leo  39 4039  89125
 415 Leo  40 4054  89449
 416 Leo  41 4057  89484
             4058  89485
 417 Leo  42 4070  89774
 418 Leo  43 4077  89962
 419 Leo  44 4088  90254
 420 Leo  45 4101  90569
 421 Leo  46 4127  91232
 422 Leo  47 4133  91316
 423 Leo  48 4146  91612
 424 Leo  49 4148  91636
 425 Leo  50       92196
 426 Leo  51 4208  93257
 427 Leo  52 4209  93291
 428 Leo  53 4227  93702
 429 Leo  54 4259  94601
             4260  94602
 430 Leo  55 4265  94672
 431 Leo  56 4267  94705
 432 Leo  57       94738
 433 Leo  58 4291  95345
 434 Leo  59 4294  95382
 435 Leo  60 4300  95608
 436 Leo  61 4299  95578
 437 Leo  62 4306  95849
 438 Leo  63 4310  96097
 439 Leo  64 4322  96528
 440 Leo  65 4319  96436
 441 Leo  66       96855
 442 Leo  67 4332  96738
 443 Leo  68 4357  97603
 444 Leo  69 4356  97585
 445 Leo  70 4359  97633
 446 Leo  71       98824
 447 Leo  72 4362  97778
 448 Leo  73 4365  97907
 449 Leo  74 4368  98058
 450 Leo  75 4371  98118
 451 Leo  76 4381  98366
 452 Leo  77 4386  98664
 453 Leo  78 4399  99028
 454 Leo  79 4400  99055
 455 Leo  80 4410  99329
 456 Leo  81 4408  99285
 457 Leo  82       99305
 458 Leo  83 4414  99491
 459 Leo  84 4418  99648
 460 Leo  85 4426  99902
 461 Leo  86 4433 100006
 462 Leo  87 4432  99998
 463 Leo  88 4437 100180
 464 Leo  89 4455 100563
 465 Leo  90 4456 100600
 466 Leo  91 4471 100920
 467 Leo  92 4495 101484
 468 Leo  93 4527 102509
 469 Leo  94 4534 102647
 470 Leo  95 4564 103578
 471 Vir   1 4483 101153
 472 Vir   2 4515 102124
 473 Vir   3 4517 102212
 474 Vir   4 4528 102510
 475 Vir   5 4540 102870
 476 Vir   6 4559 103484
 477 Vir   7 4585 104181
 478 Vir   8 4589 104321
 479 Vir   9 4608 104979
 480 Vir  10 4626 105639
 481 Vir  11 4629 105702
 482 Vir  12 4650 106251
 483 Vir  13 4681 107070
 484 Vir  14      107161
 485 Vir  15 4689 107259
 486 Vir  16 4695 107328
 487 Vir  17 4708 107705
 488 Vir  18*
 489 Vir  19*
 490 Vir  20 4777 109217
 491 Vir  21 4781 109309
 492 Vir  22*
 493 Vir  23*
 494 Vir  24*
 495 Vir  25 4799 109704
 496 Vir  26 4813 110014
 497 Vir  27 4824 110377
